web adress,name,ticker,ico success,industry,platform,ieo,mininvest,country,kyc,wlist,regulkyc,regtax,restusa,restchina,tokens f sale,accepting,eth,btc,fiat,ltc,dash,xrp,zec,neo,eos,other,protocol type,distributed in ico,softcap,hardcap,amount raised,circsupply,price mkt,price pre ico,price ico,regulkyc dates,pre ico starts,pre ico ends,total days,ico starts,ico ends,total days.1,artificial intelligence,art,banking,big data,business services,charity,communication,cryptocurrency,education,electronics,energy,enterntainment,health,infrastructre,internet,investment,legal,manufacturing,media,platform.1,real estate,retail,smart contract,software,sports,tourism,virtual reality,other.1,name_std,symbol_std,softcap_usd,hardcap_usd,amount raised_usd,ico_successful,regulkyc dates_parsed
/ico/alethena,Alethena,ATH Token,1,16,6.0,0,0.0,5,1.0,0.0,1.0,1.0,0,0,5500000000.0,"BTC, ETH, CHF, EUR, USD",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.043,3009294.0,30092940.0,583000.0,0.0,76.43,,0.01,2018-02-02 00:00:00,2018-05-23,2018-05-30,7,2018-06-06,2018-06-27,21.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alethena,ATH,3009294.0,30092940.0,583000.0,1,2018-02-02
/ico/ogcoin,OGCoin,OGC,0,8,6.0,0,1.0,0,0.0,0.0,,,0,0,150000000.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.2,,,0.0,0.0,48.32,,0.0502,,,,0,2018-03-20,2018-04-16,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ogcoin,OGC,,,0.0,0,
/ico/digidex,DigiDex,DGX Token,0,20,6.0,0,1.0,13,0.0,0.0,1.0,1.0,0,0,23000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.61,385536.0,12989908.14,0.0,106019.0,45.43,"1 ETH = 13,000 DGX",0.043,2017-08-24 00:00:00,2018-03-21,2018-04-30,40,2018-04-30,2018-06-30,61.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,digidex,DGX,385536.0,12989908.14,0.0,0,2017-08-24
/ico/gbx,GBX,RKT,1,20,6.0,0,,14,,,1.0,0.0,0,0,,,,,,,,,,,,,6.0,,10000000.0,27000000.0,27000000.0,0.0,17.22,,0.1,2018-01-01 00:00:00,,,0,2018-02-07,2018-02-14,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbx,RKT,10000000.0,27000000.0,27000000.0,1,2018-01-01
/ico/venjocoin,VenjoCoin,VJC,1,22,6.0,0,,2,0.0,1.0,1.0,1.0,0,0,500000000.0,,,,,,,,,,,,6.0,0.5,,,250000.0,0.0,8.36,,0.5,0,,,0,2019-01-01,2019-02-28,58.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,venjocoin,VJC,,,250000.0,1,1970-01-01
/ico/xentavo,XENTAVO,XEN,0,8,6.0,0,1.0,3,1.0,0.0,1.0,1.0,1,0,385000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.55,,221778919.44,0.0,0.0,6.9,,0.058,2013-03-18 00:00:00,2018-03-01,2018-03-31,30,2018-04-01,2018-06-30,90.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xentavo,XEN,,221778919.44,0.0,0,2013-03-18
/ico/quant-network,Quant Network,QNT,1,20,6.0,0,1.0,5,1.0,1.0,1.0,1.0,1,1,31000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6819,3132480.0,361182811.67,11000000.0,9964259.0,6.09,1 ETH = 687 QNT,1.58,2018-02-02 00:00:00,2018-03-19,2018-04-01,13,2018-04-02,2018-04-30,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quantnetwork,QNT,3132480.0,361182811.67,11000000.0,1,2018-02-02
/ico/bitrust,BITRUST,BTF,0,5,6.0,0,0.0,2,0.0,0.0,1.0,1.0,0,0,150000000.0,"ETH, BTC, LTC",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,3737460.0,76038486.67,0.0,0.0,5.11,,0.028,0,2018-03-05,2018-03-31,26,2018-04-02,2018-05-31,59.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bitrust,BTF,3737460.0,76038486.67,0.0,0,1970-01-01
/ico/robet,RoBET,RAC Token,1,8,6.0,0,1.0,11,1.0,0.0,0.0,0.0,1,1,3200000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,1445760.0,190096216.67,1969000.0,0.0,5.09,1 ETH = 75 RAC,8.7,2018-11-15 00:00:00,2018-02-01,2018-04-19,77,2018-04-20,2018-05-21,31.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robet,RAC,1445760.0,190096216.67,1969000.0,1,2018-11-15
/ico/robo-advisor-coin,Robo Advisor Coin,RAC,1,8,6.0,0,0.0,2,,,1.0,1.0,0,0,,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,1445760.0,633654055.56,1956675.0,0.0,5.09,,24.18,0,,,0,2018-04-20,2018-06-30,71.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,roboadvisorcoin,RAC,1445760.0,633654055.56,1956675.0,1,1970-01-01
/ico/racoin,RAcoin,RAC Token,0,20,6.0,0,1.0,0,1.0,1.0,,,0,0,8000000000.0,"BTC, ETH",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,10418200.0,86968800.0,0.0,0.0,5.09,,0.0056,,,,0,2018-04-28,2018-05-28,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,racoin,RAC,10418200.0,86968800.0,0.0,0,
/ico/lyntoken,LYNCHPIN TOKEN,LYN,1,8,6.0,0,0.0,4,0.0,1.0,1.0,0.0,0,0,4000000.0,"ETH, BTC",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8,9000000.0,19500000.0,9587500.0,0.0,3.68,1 LYN = 4.5 USD,5.0,2017-11-27 00:00:00,,,0,2018-11-15,2019-05-01,167.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lynchpintoken,LYN,9000000.0,19500000.0,9587500.0,1,2017-11-27
/ico/zbx,ZBX,XT,0,8,6.0,0,0.0,11,1.0,1.0,1.0,0.0,0,0,100000000.0,"ETH, BTC, Fiat",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.2,,,0.0,0.0,,,,2018-11-15 00:00:00,2018-12-20,2019-02-01,43,2019-02-01,2019-03-01,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zbx,XT,,,0.0,0,2018-11-15
