unnamed: 0,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_std
0,Ozone Metaverse,1430000.0,"$1,430,000 (100%) ",Utility,Platform,1430000.0,"2,000,000,000",Not Rated,280000.0,16 Jun – 6 Jul, 1 OZONE = 0.007 USD ,1430000.0,Ended: 6 Jul 2023 ,Flow,"21,25%",,,,,,6 Jul 2023,2023-07-06,1,ozonemetaverse,ozonemetaverse
1,TypeIT,,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,22000000000.0,28 Jun – 6 Jul, 1 TYPE = 0.05 USD ,,Ended: 6 Jul 2023 ,ERC20,,,,,,,6 Jul 2023,2023-07-06,0,typeit,typeit
2,EGO (Paysenger),4160000.0,"$4,160,000 (100%) ",Utility,Social Network,4160000.0,"500,000,000",Not Rated,859000.0,1 Jun – 5 Jul, 1 EGO = 0.06 USD ,4160000.0,Ended: 5 Jul 2023 ,BEP-20,26.6%,100$ / 2500$,"Yes (until 24 May, ","ETH, USDT, USDC, DOT",,"Afghanistan, Burundi, Central African Republic, Congo, Cuba, Puerto Rico, Somalia, Sudan, USA, Venezuela, Zimbabwe",5 Jul 2023,2023-07-05,1,egopaysenger,egopaysenger
3,Goracle,3725000.0,"$3,730,000 (100%) ",Utility,Blockchain Service,3730000.0,,Not Rated,,Market & Returns,,3725000.0,Ended: 5 Jul 2023 ,,,,,,,,5 Jul 2023,2023-07-05,0,goracle,goracle
4,BIDSHOP,250000.0,,Utility,DeFi,,,Not Rated,,Market & Returns,,250000.0,Ended: 30 Jun 2023 ,,,,,,,,30 Jun 2023,2023-06-30,0,bidshop,bidshop
5,Tectum,4202573.0,,Utility,Blockchain,,,Not Rated,,Market & Returns,,4202573.0,Ended: 30 Jun 2023 ,,,,,,,,30 Jun 2023,2023-06-30,0,tectum,tectum
6,Ethlas,8700000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,8700000.0,Ended: 28 Jun 2023 ,,,,,,,,28 Jun 2023,2023-06-28,0,ethlas,ethlas
7,Archway,27000000.0,"$27,000,000 (100%) ",Utility,Blockchain,27000000.0,"1,000,000,000",Not Rated,6000000.0,15 Jun – 23 Jun, 1 ARCH = 0.2 USD ,27000000.0,Ended: 23 Jun 2023 ,Cosmos Network,"19,5%",100$ / 1000$,,"USDT, USDC",,"Canada, China, Congo, Iraq, North Korea, USA",23 Jun 2023,2023-06-23,1,archway,archway
8,PolyGame,5225000.0,"$5,230,000 (100%) ",Utility,Platform,5230000.0,"5,000,000,000",Not Rated,100000.0,12 Jun – 16 Jun, 1 PGEM = 0.075 USD ,5225000.0,Ended: 16 Jun 2023 ,Polygon,6%,,,"USDC, BUSD",,,16 Jun 2023,2023-06-16,1,polygame,polygame
9,Neon,45000000.0,"$45,000,000 (100%) ",Governance,Blockchain Service,45000000.0,"1,000,000,000","
Very High ",5000000.0,8 Jun – 15 Jun, 1 NEON = 0.1 USD ,45000000.0,Ended: 15 Jun 2023 ,ERC20,5%,$100 / $500,,"USDT, USDC",,,15 Jun 2023,2023-06-15,1,neon,neon
