name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,crowdsale is auction,has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,development road map available,whitepaper page count,product or prototype developed,product can be tried out,years since foundation,issuer has customers for product,business model available,utility token enables decentralization,smart contract code available,project code available,use of proceeds mentioned,use of proceeds disclosed in detail,token share team (ex ante),token share crowdsale investors (ex ante),token share presale investors (ex ante),token share producers/miners (ex ante),unsold tokens 'burnt' or proportional allocation,unsold tokens kept by issuer,unsold tokens locked up,lock up period unsold tokens (years),team lockup period (weighted avg.),presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,investors have governance rights,team size,experienced team,team member with business background,advisor_quality,legal_structure,registration_country,address,independent custodian for ico funds,portfolio_converted_into_fiat,funding milestones,qualified investors only,simple agreement for future tokens (saft),kyc/aml procedure,us retail investors excluded,investors from other (non-us) jurisdictions excluded,legal advisor disclosed,financial advisor disclosed,air_drop_after_ico,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,amount raised in presale (usdm),amount raised in crowdsale (usdm),total amount raised (usdm),total amount raised (usdm).1,btc_ret_ico_period,presale discount (%),fundraiser has maximum ('hard cap'),fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,crowdsale max. discount (%),us_qualified_only,team business background missing,team experience missing,average_discount,team tokens locked up,presale tokens locked up,issued_on_other_platf,legal form and jurisdiction known,postal address known,registered in offshore financial center,switzerland,is_ethereum,is cryptographic token,has vc backing,has_generalist_vc,has_specialist_vc,unknown or low quality advisors,high quality advisory team,token supply is fixed,token share crowdsale investors (ex post),post_money_val_crowdsale,celebrity endorsement,is a security,is a utility token,token_is_cryptocurrency,token_is_new_blockchain,is currency or general purpose blockchain,decentralised platform,legal entity is foundation,legal entity is corporation,legal entity is llc,legal entity is corporation or llc,"length of crowdsale (calendar days, actual)","length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry.1,(first) date,time to listing (calendar days),name_std,symbol_std,soft_cap_usd,hard_cap_usd,independent custodian for ico funds_usd
0x,0x,ZRX,1,0.0,24000000.0,USD,1,Utility-token,,500000000.0,1000000000.0,ERC-20,0,0.05108362999999999,0.05108362999999999,0.05108362999999999,0,0,,,,0,16.0,1,1,1,0,0,1.0,1.0,1,0,0,0.5,0.5,0.0,0.0,0,1,1.0,0.0,0.60125,,No,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,12.0,0,0,unknown,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,1,0,0,0,0,0,Trading & Exchanges,0xe41d2489571d322189246dafa5ebde1f4699f498,2017-08-15,2017-08-19,2017-08-16,0.0,25.54181671142578,25.54181671142578,25.54181671142578,0.04550616070628166,,1,0,USD,USD,106.42423248291016,100.0,,,0.051083631813526154,0.051083631813526154,0.0,0,0,0,-3.5501120692060795e-06,1,,1,1,0,1,0,1,1,1,0,1,1,0,1,0.5,51.08363342285156,0,0,1,0,0,0,1,0,1,0,1.0,2,5.0,0.6012499928474426,1,Trading & Exchanges,2017-08-16,0.0,0x,zrx,0.0,24000000.0,0.0
Achain,Achain,ACT,1,0.0,7555980.0,BTC,0,New Blockchain,,300000000.0,1000000000.0,No,1,0.023123707463809467,0.024340985553128126,0.023123707463809467,0,1,300000000.0,,,1,18.0,1,0,2,0,1,,,0,0,0,0.4,0.3,0.3,0.0,0,1,0.0,0.0,1.052083333333333,1.291666666666667,No,No,0,17.0,0,0,unknown,foundation,Singapore,"ACHAIN FOUNDATION LTD., 9 TEMASEK BOULEVARD, #04-02 SUNTEC TOWER TWO, SINGAPORE 038989",0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,2017-07-07,2017-07-21,2017-07-07,,8.080700874328613,8.080700874328613,,0.0,,1,0,BTC,BTC,,,,,0.023123707622289658,0.023123707622289658,5.000939846038818,0,1,1,44.670135498046875,1,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.30000001192092896,26.9356689453125,0,0,0,0,1,1,1,1,0,0,0.0,1,15.0,1.0262420177459717,0,Blockchain Infrastructure,2017-08-27,51.0,achain,act,0.0,7555980.0,0.0
adbank,adbank,ADB,1,0.0,10416800.0,ETH,1,Utility-token,,510000000.0,1000000000.0,ERC-20,0,0.028935555555578703,0.03472266666663195,0.03472266666663195,0,0,,,,1,56.0,1,0,1,0,0,1.0,1.0,1,1,0,0.49,0.51,0.0,0.0,0,1,0.0,0.0,2.0,,No,No,0,21.0,1,0,high,unknown,Canada,"Collingwood, Ontario, CANADA, L9Y 1A1",0,0,0,0,0,1,1,1,0,0,0,Commerce & Advertising,0x2baac9330cf9ac479d819195794d79ad0c7616e3,2017-12-14,2018-01-21,2018-01-06,0.0,10.416799545288086,10.416799545288086,10.416799545288086,0.05651088431477547,,1,0,ETH,ETH,100.0,100.0,,,0.0204250980168581,0.0204250980168581,16.66666603088379,0,0,0,41.17647171020508,1,,1,0,1,0,0,1,1,0,0,0,0,1,1,0.5099999904632568,20.425098419189453,0,0,1,0,0,0,1,0,0,0,,24,39.0,2.0,1,Commerce & Advertising,2018-02-03,28.0,adbank,adb,0.0,10416800.0,0.0
Adelphoi,Adelphoi,ADL,0,2057768.9999999998,,BTC,1,Security,,28333333.33333333,100000000.0,Nxt,0,,,,1,0,,,,0,11.0,0,0,0,0,1,,0.0,0,0,0,0.2833333333333333,0.7166666666666667,0.0,0.0,1,0,,,,,No,No,1,,1,1,unknown,joint-stock corporation,Isle of Man,"Adel Ecosystem Limited, Alma House, 7 Circular Road, Douglas, IM1 1AF, Isle of Man",0,0,1,0,0,1,1,0,0,0,0,Finance,not applicable,2017-05-01,2017-05-31,2017-05-31,0.0,1.0117363929748535,1.0117363929748535,1.0117363929748535,0.4751999080181122,,0,1,BTC,BTC,,,,,,,,0,0,0,,0,,1,1,1,1,0,0,1,0,0,0,1,0,1,0.28333333134651184,3.5708343982696533,0,1,0,0,0,0,0,0,1,0,1.0,31,31.0,,1,Finance,2017-06-16,16.0,adelphoi,adl,2057768.9999999998,,0.0
AdEx,AdEx,ADX,1,3299948.75,14211988.75,ETH,0,Utility-token,,46809360.0,100000000.0,ERC-20,0,0.25206837606838944,0.32768888888888564,0.25206837606838944,0,1,12211534.7066,0.1760996600354496,0.2144344360822132,1,33.0,0,0,1,0,1,1.0,1.0,0,1,0,0.409884652934,0.468,0.122115347066,0.0,0,1,1.0,1.25,0.8840433853127135,,No,No,0,6.0,0,0,neutral,joint-stock corporation,Estonia,"AdEx Network OÜ, Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117 ",0,0,0,0,0,0,0,0,1,0,0,Commerce & Advertising,0x4470bb87d77b963a013db939be332f927f2b992e,2017-06-30,2017-07-30,2017-06-30,2.415188789367676,11.799159049987793,14.214347839355469,14.214347839355469,0.0,46.26010513305664,1,1,ETH,ETH,100.0166015625,100.0,0.19777929782867432,0.19777929782867432,0.2520683705806732,0.2520683705806732,23.076923370361328,0,0,1,26.504722595214844,1,0.0,1,1,1,0,0,1,1,0,0,0,0,0,1,0.468093603849411,25.206836700439453,0,0,1,0,0,0,1,0,1,0,1.0,1,31.0,0.8840433955192566,1,Commerce & Advertising,2017-07-01,1.0,adex,adx,3299948.75,14211988.75,0.0
Adhive (ADH),AdHive,ADH,1,5040000.0,15000000.0,USD,0,Utility-token,,110773611.6013015,392000000.0,ERC-20,0,0.13056488549619105,0.17104000000000003,0.17104000000000003,0,1,6826725.098698502,0.12669629629625515,0.11402666666663816,1,70.0,1,1,1,0,1,1.0,0.0,0,0,1,0.7000000000000001,0.28482949978067,0.01517050021933,0.0,1,0,,,0.1636904761904762,0.0833333333333333,No,No,0,9.0,1,1,high,joint-stock corporation,Estonia,"AdHive Platform OÜ, Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47, 11415",0,0,0,0,0,1,1,1,0,1,0,Commerce & Advertising,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,2018-02-28,2018-03-14,2018-02-28,1.0399999618530273,13.960000038146973,15.0,15.0,0.0,25.925926208496094,1,1,USD,USD,100.0,100.0,0.15234243869781494,0.15234243869781494,0.1260228008031845,0.1260228008031845,23.664121627807617,0,0,0,25.426414489746094,1,1.0,1,1,1,0,0,1,1,0,0,0,0,1,1,0.2825857400894165,49.400936126708984,0,0,1,0,0,0,1,0,1,0,1.0,1,15.0,0.1636904776096344,1,Commerce & Advertising,2018-04-17,48.0,adhiveadh,adh,5040000.0,15000000.0,0.0
Aditus,Aditus,ADI,1,2000000.0,11000000.0,USD,1,Security,,86559291.0,750000000.0,ERC-20,0,0.0485436893203883,0.05,0.05,0,1,113440709.0,,0.0384615384615385,1,35.0,0,0,0,0,1,,1.0,0,1,0,0.55,0.3365592909999999,0.113440709,0.0,1,0,,,0.2045454545454545,,No,District 13,1,7.0,1,1,high,joint-stock corporation,Singapore,"Aditus Pte. Ltd., 178 CLEMENCEAU AVENUE #03-01 HAW PAR GLASS TOWER SINGAPORE 239926",0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,0x8810c63470d38639954c6b41aac545848c46484a,2017-11-30,2017-12-20,2017-12-20,4.5,2.600193738937378,7.100193977355957,7.100193977355957,0.48520711064338684,,1,1,USD,USD,64.5472183227539,40.00297927856445,0.03966829925775528,0.03966829925775528,0.030039453878998756,0.030039453878998756,2.912621259689331,0,0,0,28.99806022644043,1,0.0,1,1,1,0,0,1,1,1,0,1,0,1,1,0.1154123917222023,22.52958869934082,0,1,0,0,0,0,1,0,1,0,1.0,21,21.0,0.20454545319080353,1,Commerce & Advertising,2018-04-23,124.0,aditus,adi,2000000.0,11000000.0,0.0
adToken,adToken,ADT,1,0.0,9089575.77,ETH,1,Utility-token,,500000000.0,1000000000.0,ERC-20,0,0.01817915154,0.01817915154,0.01817915154,0,1,100000000.0,,,1,16.0,0,0,0,0,0,0.0,1.0,1,1,0,0.4,0.5,0.1,0.0,0,1,0.0,0.0,2.5,,No,No,1,6.0,1,0,high,joint-stock corporation,United States," MetaXchain, Inc., 3110 Main St., Penthouse Suite #400, Los Angeles CA",0,0,0,0,0,0,1,0,0,0,0,Commerce & Advertising,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,2017-06-26,2017-06-26,2017-06-26,,9.08957576751709,9.08957576751709,,0.0,,1,0,ETH,ETH,,,,,0.01817915216088295,0.01817915216088295,0.0,0,0,0,16.666669845581055,1,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,0.5,18.17915153503418,0,0,1,0,0,0,0,0,1,0,1.0,1,1.0,2.5,0,Commerce & Advertising,2017-07-02,6.0,adtoken,adt,0.0,9089575.77,0.0
Aeron,Aeron,ARN,1,0.0,28571428.571428575,tokens,1,Utility-token,,,20000000.0,ERC-20,0,0.3333333333333333,0.4761904761904762,0.4761904761904762,0,1,,0.3225806451612903,0.3846153846153846,1,44.0,0,0,1,0,1,1.0,1.0,0,1,0,0.4,,,0.0,1,0,,,,,No,No,0,10.0,1,1,high,joint-stock corporation,Belize,"Aeron Labs, #7 New Road, Belize City",0,0,0,0,0,0,1,0,1,0,0,Travel & Tourisim,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,2017-09-19,2017-10-23,2017-10-30,,,,,0.44592249393463135,32.25806427001953,1,0,tokens,tokens,,,,0.353598028421402,,0.4047619104385376,30.0,0,0,0,,0,0.0,1,1,1,1,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,1,0,1.0,42,35.0,,0,Travel & Tourisim,2017-11-07,8.0,aeron,arn,0.0,28571428.571428575,0.0
Aeternity,Aeternity,AE,1,0.0,21649484.536082476,CHF,1,New Blockchain,,226789010.77,276571964.3536586,ERC-20,1,0.25612727272727015,0.43344615384614305,0.3756533333333239,0,0,,,,1,10.0,1,1,0,0,0,,0.0,1,0,0,0.18,0.82,0.0,0.0,1,0,,,,,No,No,1,6.0,1,1,neutral,foundation,Liechtenstein,"Aeternity Establishment, Landstr. 123, FL-9495 Triesen ",0,0,0,0,0,0,0,0,1,0,0,Blockchain Infrastructure,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,2017-04-03,2017-06-19,2017-06-09,0.0,34.99652099609375,34.99652099609375,34.99652099609375,0.9037222266197205,,1,0,CHF,CHF,161.6505889892578,100.0,,,0.1543131172657013,0.1543131172657013,40.90909194946289,0,0,0,64.39854431152344,0,,1,1,1,1,0,1,1,0,0,0,0,0,0,0.8199999928474426,42.67868423461914,0,0,0,0,1,1,1,1,0,0,0.0,68,78.0,,1,Blockchain Infrastructure,2017-06-01,-8.0,aeternity,ae,0.0,21649484.536082476,0.0
Agrello,Agrello,DLT,1,0.0,43316899.99999999,BTC,0,Utility-token,,,130271020.035721,ERC-20,0,0.43316899999999997,0.5631196999999999,0.5631196999999999,0,1,,,,1,35.0,0,0,0,0,0,1.0,0.0,0,0,0,0.21,0.66,0.13,0.0,1,0,,,,,No,No,0,5.0,1,0,neutral,joint-stock corporation,Estonia,"Valukoja 8, 11415 Tallinn, Estonia",0,0,0,0,0,1,0,0,0,0,0,Legal,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,2017-07-16,2017-08-17,2017-08-17,,29.68411636352539,29.68411636352539,,0.8085310459136963,,1,0,BTC,BTC,,,,,,0.49814435839653015,23.076923370361328,0,0,0,,0,0.0,1,1,1,0,0,1,1,0,0,0,0,0,1,,,0,0,1,0,0,0,1,0,1,0,1.0,33,33.0,,0,Legal,2017-09-09,23.0,agrello,dlt,0.0,43316899.99999999,0.0
