coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_resolved,symbol_resolved_source,symbol_std
Acala Network,92500000.0,"$92,500,000 (100%) ",Utility,Governance Token,92500000.0,"1,000,000,000",Ticker: ACA,,30 Aug – 5 Sep, 1 ACA = 1 USD ,92500000.0,Ended: 5 Sep 2021 ,Own blockchain,,,"Yes (since 15 Aug, ","ETH, USDC, DOT",,"China, Crimea region, Cuba, Iran, New Zealand, North Korea, Syria, Ukraine, US non-accredited investors",5 Sep 2021,2021-09-05,0,acalanetwork,ACA,coinpaprika,aca
Agoric,90250000.0,"$90,250,000 (100%) ",Utility,Blockchain Service,90250000.0,,Ticker: BLD,70000000000.0,29 Dec – 5 Jan, 1 BLD = 0.8 USD ,90250000.0,Ended: 5 Jan 2022 ,Own blockchain,,$100 / $1000,"Yes (until 27 Dec, ",,,"Canada, China, South Korea, USA",5 Jan 2022,2022-01-05,0,agoric,BLD,coingecko,bld
Alaska Gold Rush,150000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,100000.0,29 Mar – 30 Mar, 1 CARAT = 0.03 USD ,150000.0,Ended: 30 Mar 2023 ,BEP-20,30%,,,USDT,,,30 Mar 2023,2023-03-30,1,alaskagoldrush,CARAT,coingecko,carat
Ampleforth,4999234.0,"$5,000,000 (100%) ",Utility,Protocol,5000000.0,,"
High ",,Market & Returns,,4999234.0,Ended: 27 Jun 2019 ,,,,,,,,27 Jun 2019,2019-06-27,0,ampleforth,AMPL,coingecko,ampl
AngelBlock,4200000.0,"$5,350,000 (79%) ",Utility,Protocol,5350000.0,"400,000,000",Not Rated,,16 Feb – 1 Mar, 1 THOL = 0.1 USD ,4200000.0,Ended: 1 Mar 2023 ,ERC20,"8,25%",,,USDT,,,1 Mar 2023,2023-03-01,0,angelblock,THOL,coingecko,thol
API3,23000000.0,,Utility,Blockchain Service,,,"
High ",,Market & Returns,,23000000.0,Ended: 4 Dec 2020 ,,,,,,,,4 Dec 2020,2020-12-04,0,api3,API3,coinpaprika,api3
Aptos ,350000000.0,,Utility,Blockchain Service,,,,,until 17 Oct,,350000000.0,Ended: 17 Oct 2022 ,ERC20,,,,USDT,,,17 Oct 2022,2022-10-17,0,aptos,APT,coingecko,apt
ArbiPad,1200000.0,"$1,200,000 (100%) ",Utility,Platform,1200000.0,"10,000,000,000",Not Rated,1200000.0,8 May – 11 May, 1 ARBI = 0.0005 USD ,1200000.0,Ended: 11 May 2023 ,Own blockchain,24%,,,,,,11 May 2023,2023-05-11,1,arbipad,ARBI,coinpaprika,arbi
Arbitrum,123700000.0,,Utility,Blockchain Service,,"10,000,000,000","
Very High ",,24 Jun – 23 Mar,,123700000.0,Ended: 23 Mar 2023 ,ERC20,,,,USDT,,,23 Mar 2023,2023-03-23,0,arbitrum,ARB,coinpaprika,arb
Archway,27000000.0,"$27,000,000 (100%) ",Utility,Blockchain,27000000.0,"1,000,000,000",Not Rated,6000000.0,15 Jun – 23 Jun, 1 ARCH = 0.2 USD ,27000000.0,Ended: 23 Jun 2023 ,Cosmos Network,"19,5%",100$ / 1000$,,"USDT, USDC",,"Canada, China, Congo, Iraq, North Korea, USA",23 Jun 2023,2023-06-23,1,archway,ARCH,coinpaprika,arch
Ardana,11000000.0,"$11,000,000 (100%) ",Utility,Blockchain Service,11000000.0,,"
High ",,Market & Returns,,11000000.0,Ended: 5 Nov 2021 ,,,,,,,,5 Nov 2021,2021-11-05,0,ardana,DANA,coinpaprika,dana
Arken Finance,,,Utility,Blockchain Service,,"10,000,000,000",Not Rated,2250000.0,3 Apr – 6 Apr, 1 ARKEN = 0.004 USD ,,Ended: 6 Apr 2023 ,Own blockchain,,,,USDT,,,6 Apr 2023,2023-04-06,0,arkenfinance,$ARKEN,coingecko,arken
ARTT Network,225000.0,"$230,000 (100%) ",Utility,Platform,230000.0,"2,000,000,000",Not Rated,100000.0,27 Mar – 30 Mar, 1 ARTT = 0.1 USD ,225000.0,Ended: 30 Mar 2023 ,BEP-20,,,,USDT,,,30 Mar 2023,2023-03-30,1,arttnetwork,ARTT,coinpaprika,artt
Aurora,13000000.0,"$13,000,000 (100%) ",Utility,Blockchain Service,13000000.0,,"
Very High ",,Market & Returns,,13000000.0,Ended: 18 Nov 2021 ,,,,,,,,18 Nov 2021,2021-11-18,0,aurora,AURORA,coingecko,aurora
Aurory,108800000.0,"$108,850,000 (100%) ",Utility,Gaming,108850000.0,,"
High ",,Market & Returns,,108800000.0,Ended: 24 Oct 2021 ,,,,,,,,24 Oct 2021,2021-10-24,0,aurory,AURY,coingecko,aury
Axelar,75000000.0,"$75,000,000 (100%) ",Utility,Network,75000000.0,"1,000,000,000",Ticker: AXL,50000000000.0,9 Mar – 16 Mar, 1 AXL = 1 USD ,75000000.0,Ended: 16 Mar 2022 ,ERC20,5%,100$ / 750$,,"ETH, BTC, USDT, USDC",,"Canada, China, Crimea region, Cuba, Iran, Korea, North Korea, Syria, US non-accredited investors",16 Mar 2022,2022-03-16,0,axelar,AXL,coingecko,axl
Band Protocol,10850000.0,"$10,850,000 (100%) ",Utility,Protocol,10850000.0,,"
High ",,Market & Returns,,10850000.0,Ended: 17 Sep 2019 ,,,,,,,,17 Sep 2019,2019-09-17,0,bandprotocol,BAND,coinpaprika,band
Beldex,25000000.0,,Utility,Blockchain Service,,"9,914,701,267",Not Rated,,until 24 Feb,,25000000.0,Ended: 24 Feb 2023 ,ERC20,,,,USDT,,,24 Feb 2023,2023-02-24,0,beldex,BDX,coinpaprika,bdx
Bella Protocol,,,Utility,DeFi,,,"
High ",,Market & Returns,,,Ended: 9 Oct 2020 ,,,,,,,,9 Oct 2020,2020-10-09,0,bellaprotocol,BEL,coinpaprika,bel
BENQI,10000000.0,,Utility,Protocol,,,"
High ",,Market & Returns,,10000000.0,Ended: 15 Dec 2021 ,,,,,,,,15 Dec 2021,2021-12-15,0,benqi,QI,coinpaprika,qi
