name_std,symbol_std,ico_successful,softcap_usd,amount raised_usd
alethena,ATH,1,3009294.0,583000.0
venjocoin,VJC,1,,250000.0
ampleforth,AMPL,1,,5000000.0
bitfinex,LEO,1,,1000000000.0
kamari,KAM,1,,4000000.0
bcshop,BCS,1,,1725500.0
cryptotask,CTF,1,,893695.0
mytime,MTT,1,6286210.0,3500000.0
levolution,LEVL,1,6746880.0,1883840.0
tomocoin,TOMO,1,,8500000.0
bitagro,AGRO,1,5760000.0,2841000.0
iou,IOUX,1,,11700000.0
tokenizeemblem,TKX,1,7228800.0,3486300.0
sessia,KICKS,1,5000000.0,3000000.0
zerobank,ZB,1,6000000.0,3870000.0
cryptocean,CRON,1,25000000.0,2796880.0
stockchain,SCC,1,,2693450.0
rigoblock,GRG,1,2000000.0,274000.0
btuprotocol,BTU,1,,5500000.0
cryptocircleexchange,CCX,1,5000000.0,1515000.0
centrality,CENNZ,1,,88524000.0
raidofinancial,RF,1,3614400.0,920000.0
cryptassist,CTA,1,,14060000.0
darico,DEC,1,,11500000.0
probit,PROB,1,,110000.0
mycro,MYO,1,,1500000.0
fluxorin,TFT,1,,13142268.0
phitoken,PHI,1,,3800000.0
vsystems,VSYS,1,,600000.0
sero,SERO,1,,120000.0
eosex,EXP,1,,1886891.0
digitex,DGTX,1,,5200000.0
talao,TALAO,1,2409600.0,2347581.0
aunite,AUNIT,1,,10690364.0
blockport,BPT,1,,15118350.0
tokenomy,TEN,1,,22869000.0
icovo,OVO,1,2827906.56,803390.0
ioex,IOEX,1,,27200000.0
karatgoldcoinkbc,KBC,1,,100000000.0
matic,MATIC,1,,5000000.0
pecunio,PCO,1,,20539923.0
matrix,MTX,1,,54000000.0
botxcoin,BOTX,1,600000000.0,1250000.0
lightbitatom,LBA,1,1000000.0,700000.0
omnitude,ECOM,1,10000000.0,8000000.0
sparkle,SPRKL,0,0.0,0.0
alehub,ALE,1,6803656.73,4681068.0
synexcoin,SYC,1,,370120.0
enecuum,ENQ,1,5967552.0,1500000.0
krios,KRI,1,,20000000.0
colulocalnetwork,CLN,1,30000000.0,23000000.0
experty,EXY,1,,1491696.0
legolasexchange,LGO,1,,18856000.0
insightsnetwork,INSTAR,1,,17400000.0
res,RES,1,,5500000.0
deex,DEEX,1,,10103409.0
coinplace,CPL,1,481920.0,137856.0
bolttcoin,BOLTT,1,2409600.0,1223500.0
mossland,MOC,1,,6000000.0
switcheonetwork,SWH,1,,3200000.0
fantom,FTM,1,,39400000.0
duonetwork,DUO,1,4819200.0,941100.0
fidelityhouse,FIH,1,4819200.0,3000000.0
shard,SHARD,1,722880.0,132080.0
sentinelprotocol,UPP,1,,4446000.0
dosnetwork,DOS,1,,1700000.0
cryptohit,GAC,1,5000000.0,1080412.0
devnetwork,DEV,1,,8100000.0
etheal,HEAL,1,4800000.0,820000.0
unification,UND,1,,400000.0
staramba,STT,1,,21794958.0
westrendcoin,WES,1,,5118271.0
biotronio,BTN,1,,4029150.0
liquiditynetwork,LQD,1,,26029981.0
bolt,BOLT,1,,9000000.0
aeryus,AER,1,2409600.0,708237.0
joys,JOYS,1,5000000.0,279850.0
cryptaldash,CRD,1,,15287911.0
aida,AID,1,3000000.0,2304106.0
origintrail,TRAC,1,,22500000.0
trevitoken,TT,1,,501000.0
airbloc,ABL,1,4733820.0,2300000.0
kleros,PNK,1,,2501733.0
veriblock,VBK,1,,7000000.0
loveblockone,DDD,1,578304.0,236860.0
