name_std,symbol_std,ico_successful,soft_cap_usd,independent custodian for ico funds_usd
adex,adx,1,3299948.75,0.0
adhiveadh,adh,1,5040000.0,0.0
aditus,adi,1,2000000.0,0.0
aidcoin,aid,1,4214760.0,0.0
airtoken,air,1,15000000.0,0.0
alis,alis,1,3400289.0200000005,0.0
appcoins,appc,1,4054386.375,0.0
aragon,ant,1,244329.34375,0.0
arbidexabx,abx,1,,0.0
atlant,atl,1,1500000.0,0.0
aventus,avt,1,10902391.30434782,0.0
axpire,axpr,1,3000000.0,0.0
b2bx,b2b,1,5899500.0,0.0
bancabanc,banca,1,,0.0
bankex,bkx,1,15476800.0,0.0
basicattentiontoken,bat,1,6307394.346,0.0
bitbounce,credo,1,10096667.03125,0.0
bitdegree,bdg,1,376795.0,0.0
bitdice,csno,1,2000000.0,0.0
bitjob,stu,1,684315.0,0.0
bitquence,ethos,1,6294400.000000001,0.0
blockarray,ary,1,2504681.737,0.0
blockcat,cat,1,,0.0
blockstack,,1,4000000.0,0.0
blocktix,tix,1,2500000.0,0.0
blockv,vee,1,20000000.0,0.0
bloom,blt,1,5000000.0,0.0
boscoin,bos,1,5031530.5,0.0
bounty0x,bnty,1,1250000.0,0.0
cartaxitoken,ctx,1,932322.25,0.0
cashaa,cas,1,2500000.0,0.0
chaintrade,ctc,1,18379944.0,0.0
chronobank,time,1,502275.0,0.0
chronologic,day,1,295170.0,0.0
clout,clout,1,7500000.0,0.0
cofoundit,cfi,1,1167766.75,0.0
coindash,cdt,0,0.0,0.0
coinstarterstc,stac,1,,0.0
commerceblock,cbt,1,2000000.0,0.0
copytrack,cpy,1,4000000.918773389,0.0
corionplatform,cor,1,,0.0
covesting,cov,1,2364024.5,0.0
crederoom,,1,3496800.0,0.0
crowdwiz,,1,5000000.0,0.0
crypterium,crpt,1,3000000.0,0.0
crypto20,c20,1,2100000.0,0.0
dadi,dadi,1,1000000.0,0.0
databits,dtb,1,1053334.64453125,0.0
datum,dat,1,2137600.0,0.0
dcorp,drp,1,826807.9999999999,0.0
deexdeex,deex,1,,0.0
digixdao,dgd,1,500000.0,0.0
district0x,dnt,1,2000000.0,0.0
divi,divx,1,2331400.0,0.0
dmarket,dmt,1,10970000.0,0.0
domraider,drt,1,41062000.0,0.0
dreamteam,dtt,1,2000000.0,0.0
ebcoin,ebc,1,3634618.0,0.0
ecobit,ecob,1,4929160.0,0.0
encryptotelwaves,ett,1,100000.0,0.0
ethbits,etbs,1,681300.0000000001,0.0
etherparty,fuel,1,25000000.0,0.0
exscudo,eon,1,2286410.0,0.0
fintruxnetworkftx,ftx,1,2251981.437094224,0.0
flixxo,flixx,1,2050850.0,0.0
fundyourselfnow,fyn,1,1500000.0,0.0
funfair,fun,1,3333333.3333333503,0.0
gameflip,flp,1,3547079.9999999995,0.0
gladius,gla,1,10964860.0,0.0
golem,gnt,1,1515000.0,0.0
grid,grid,1,29000000.0,0.0
guts,get,1,2300000.0,0.0
hacken,hkn,1,1200000.0,1.0
hade,hade,1,5000000.0,0.0
hdac,hdac,1,193645200.0,0.0
hellogold,hgt,1,10201374.38,0.0
herotokenhero,hero,1,4276000000.0,0.0
hive,hvn,1,5750680.0,0.0
hubiinetwork,hbt,1,5000000.0,0.0
humaniq,hmq,1,527200.0,0.0
iconomi,icn,1,1216080.0,0.0
icos,icos,1,8300000.0,0.0
iexecrlc,rlc,1,2420580.0,0.0
incent,incnt,1,1335560.5,0.0
indahash,idh,1,8532187.500001093,0.0
indorse,ind,1,4941450.0,0.0
insurepal,ipl,1,5000000.0,0.0
investfeed,ift,1,403770.0,0.0
ipexchangeipsx,ipsx,1,5122080.0,0.0
