source_dataset,row_index,symbol,name,coingecko_found,cmc_found,cryptototem_found,note
zenodo_fahlenbrach,24,b2b,b2bx,False,False,False,not_found_anywhere
zenodo_fahlenbrach,29,betm,betmaster,False,False,False,not_found_anywhere
zenodo_fahlenbrach,41,,blockstack,False,False,False,missing_symbol
zenodo_fahlenbrach,70,,crederoom,False,False,False,missing_symbol
zenodo_fahlenbrach,71,,crowdwiz,False,False,False,missing_symbol
zenodo_fahlenbrach,116,finom,finom,False,False,False,not_found_anywhere
zenodo_fahlenbrach,127,cgcoin,geniecgcoin,False,False,False,not_found_anywhere
zenodo_fahlenbrach,144,icos,icos,False,False,False,not_found_anywhere
zenodo_fahlenbrach,159,kibit,kibolotto,False,False,False,not_found_anywhere
zenodo_fahlenbrach,222,,protos,False,False,False,missing_symbol
zenodo_fahlenbrach,231,realt,realt,False,False,False,not_found_anywhere
icpsr_villanueva,4,VJC,venjocoin,False,False,False,not_found_anywhere
icpsr_villanueva,35,LCRT,lucre,False,False,False,not_found_anywhere
icpsr_villanueva,67,XBTX,xbitcore,False,False,False,not_found_anywhere
icpsr_villanueva,73,ZNA,zenome,False,False,False,not_found_anywhere
icpsr_villanueva,93,TOCC,tourismcoin,False,False,False,not_found_anywhere
icpsr_villanueva,128,SIPC,smartinsurprotocol,False,False,False,not_found_anywhere
icpsr_villanueva,147,UUNIO,uunio,False,False,False,not_found_anywhere
icpsr_villanueva,176,HGS,hashgains,False,False,False,not_found_anywhere
icpsr_villanueva,209,KRI,krios,False,False,False,not_found_anywhere
icpsr_villanueva,224,IPUX,ipux,False,False,False,not_found_anywhere
icpsr_villanueva,237,FIH,fidelityhouse,False,False,False,not_found_anywhere
icpsr_villanueva,258,STPT,standardtokenizationprotocol,False,False,False,not_found_anywhere
icpsr_villanueva,281,E2C,e2c,False,False,False,not_found_anywhere
icpsr_villanueva,303,ELAC,elamachain,False,False,False,not_found_anywhere
icpsr_villanueva,379,MedToken,medicalchain,False,False,False,not_found_anywhere
icpsr_villanueva,382,BTNT,bitnautic,False,False,False,not_found_anywhere
icpsr_villanueva,387,PKX,prokarex,False,False,False,not_found_anywhere
icpsr_villanueva,388,TEU,300cubitsteu,False,False,False,not_found_anywhere
icpsr_villanueva,424,RLTY,smartrealty,False,False,False,not_found_anywhere
icpsr_villanueva,454,MRP,moneyrebel,False,False,False,not_found_anywhere
icpsr_villanueva,455,BSTX,bitsoftbay,False,False,False,not_found_anywhere
icpsr_villanueva,459,ATNMY,autonomy,False,False,False,not_found_anywhere
icpsr_villanueva,464,TDH,trustedhealth,False,False,False,not_found_anywhere
icpsr_villanueva,500,VReS,vres,False,False,False,not_found_anywhere
icpsr_villanueva,508,CGRID,carbongridprotocol,False,False,False,not_found_anywhere
icpsr_villanueva,515,HDR,hedger,False,False,False,not_found_anywhere
icpsr_villanueva,517,RBG,rankingball,False,False,False,not_found_anywhere
icpsr_villanueva,539,XPV,percival,False,False,False,not_found_anywhere
icpsr_villanueva,540,XPV,privelegecoin,False,False,False,not_found_anywhere
icpsr_villanueva,544,BNTE,bountie,False,False,False,not_found_anywhere
icpsr_villanueva,558,GLPN,globalpaynet,False,False,False,not_found_anywhere
icpsr_villanueva,565,KISC,kaiser,False,False,False,not_found_anywhere
icpsr_villanueva,566,FML,flyingmoney,False,False,False,not_found_anywhere
icpsr_villanueva,571,KCY,kickcity,False,False,False,not_found_anywhere
icpsr_villanueva,579,DSCP,disciplinabyteachmeplease,False,False,False,not_found_anywhere
icpsr_villanueva,592,REMCO,remco,False,False,False,not_found_anywhere
icpsr_villanueva,600,XDCE,xinfin,False,False,False,not_found_anywhere
icpsr_villanueva,616,BRST,bravesoundtoken,False,False,False,not_found_anywhere
icpsr_villanueva,624,TMB,timbercoin,False,False,False,not_found_anywhere
icpsr_villanueva,636,GTT,globetrotter,False,False,False,not_found_anywhere
icpsr_villanueva,650,WMPRO,wmpro,False,False,False,not_found_anywhere
icpsr_villanueva,652,T2T,tracetoio,False,False,False,not_found_anywhere
icpsr_villanueva,672,B2C,b2and,False,False,False,not_found_anywhere
icpsr_villanueva,673,B2C,box2table,False,False,False,not_found_anywhere
icpsr_villanueva,678,LK,liker,False,False,False,not_found_anywhere
icpsr_villanueva,684,SBJ,subajglobalnetwork,False,False,False,not_found_anywhere
icpsr_villanueva,687,ATFS,atfsproject,False,False,False,not_found_anywhere
icpsr_villanueva,703,CLIN,clinicoin,False,False,False,not_found_anywhere
icpsr_villanueva,727,HSB,hashbyte,False,False,False,not_found_anywhere
icpsr_villanueva,731,VSU,versusred,False,False,False,not_found_anywhere
icpsr_villanueva,732,MNL,moonlite,False,False,False,not_found_anywhere
icpsr_villanueva,734,KNW,knowledge,False,False,False,not_found_anywhere
icpsr_villanueva,744,CURV,cryptocurve,False,False,False,not_found_anywhere
icpsr_villanueva,763,BTRM,betrium,False,False,False,not_found_anywhere
icpsr_villanueva,788,CPLO,cpollo,False,False,False,not_found_anywhere
icpsr_villanueva,800,EEE,elementh,False,False,False,not_found_anywhere
icpsr_villanueva,815,DIW,diwtoken,False,False,False,not_found_anywhere
icpsr_villanueva,841,ANU,alphanu,False,False,False,not_found_anywhere
icpsr_villanueva,843,WMB,watermelonblock,False,False,False,not_found_anywhere
icpsr_villanueva,856,IOX,coinstocks,False,False,False,not_found_anywhere
icpsr_villanueva,857,AQX,aqua,False,False,False,not_found_anywhere
icpsr_villanueva,877,CCOS,crowdcoinage,False,False,False,not_found_anywhere
icpsr_villanueva,881,IZX,izx,False,False,False,not_found_anywhere
icpsr_villanueva,883,BION,biido,False,False,False,not_found_anywhere
icpsr_villanueva,887,NTS,nauticus,False,False,False,not_found_anywhere
icpsr_villanueva,900,FTEC,ftec,False,False,False,not_found_anywhere
icpsr_villanueva,927,FNL,finlocale,False,False,False,not_found_anywhere
icpsr_villanueva,928,FNL,adfunnel,False,False,False,not_found_anywhere
icpsr_villanueva,932,ESB,ensbid,False,False,False,not_found_anywhere
icpsr_villanueva,935,GRWT,growtokengrwt,False,False,False,not_found_anywhere
icpsr_villanueva,942,C3X,conn3x,False,False,False,not_found_anywhere
icpsr_villanueva,946,SIDT,sidtoken,False,False,False,not_found_anywhere
icpsr_villanueva,948,ARAW,araw,False,False,False,not_found_anywhere
icpsr_villanueva,950,CBNT,cbnt,False,False,False,not_found_anywhere
icpsr_villanueva,970,ICST,icst,False,False,False,not_found_anywhere
icpsr_villanueva,972,BBX,blockbits,False,False,False,not_found_anywhere
icpsr_villanueva,973,BLO,blok,False,False,False,not_found_anywhere
icpsr_villanueva,987,REO,reo,False,False,False,not_found_anywhere
icpsr_villanueva,1006,KYT,keyrpto,False,False,False,not_found_anywhere
icpsr_villanueva,1008,CTU,contractiumio,False,False,False,not_found_anywhere
icpsr_villanueva,1011,HIDU,heducationworld,False,False,False,not_found_anywhere
icpsr_villanueva,1013,GOVT,thegovernmentnetwork,False,False,False,not_found_anywhere
icpsr_villanueva,1014,MEDTK,medica,False,False,False,not_found_anywhere
icpsr_villanueva,1020,CGM,clickgem,False,False,False,not_found_anywhere
icpsr_villanueva,1021,HDC,hdcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1024,FINX,finx,False,False,False,not_found_anywhere
icpsr_villanueva,1025,FIKA,cafecoin,False,False,False,not_found_anywhere
icpsr_villanueva,1028,UPZ,upthinity,False,False,False,not_found_anywhere
icpsr_villanueva,1031,PMTN,peermountain,False,False,False,not_found_anywhere
icpsr_villanueva,1032,IBO,inbet,False,False,False,not_found_anywhere
icpsr_villanueva,1037,,ttcprotocol,False,False,False,missing_symbol
icpsr_villanueva,1038,SOSR,sosr,False,False,False,not_found_anywhere
