,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate
0,Ozone Metaverse,"$1,430,000 ","$1,430,000 (100%) ",Utility,Platform,"$1,430,000 ","2,000,000,000",Not Rated," $280,000 ",16 Jun – 6 Jul, 1 OZONE = 0.007 USD ,"$1,430,000 ",Ended: 6 Jul 2023 ,Flow,"21,25%",null,null,null,null,null
1,TypeIT,Pending ,null,Utility,Blockchain Service,Pending,"1,000,000,000",Not Rated," 22,000,000 Token  ",28 Jun – 6 Jul, 1 TYPE = 0.05 USD ,Pending ,Ended: 6 Jul 2023 ,ERC20,null,null,null,null,null,null
2,EGO (Paysenger),"$4,160,000 ","$4,160,000 (100%) ",Utility,Social Network,"$4,160,000 ","500,000,000",Not Rated," $859,000 ",1 Jun – 5 Jul, 1 EGO = 0.06 USD ,"$4,160,000 ",Ended: 5 Jul 2023 ,BEP-20,26.6%,100$ / 2500$,"Yes (until 24 May, ","ETH, USDT, USDC, DOT",null,"Afghanistan, Burundi, Central African Republic, Congo, Cuba, Puerto Rico, Somalia, Sudan, USA, Venezuela, Zimbabwe"
3,Goracle,"$3,725,000 ","$3,730,000 (100%) ",Utility,Blockchain Service,"$3,730,000 ",null,Not Rated,null,Market & Returns,null,"$3,725,000 ",Ended: 5 Jul 2023 ,null,null,null,null,null,null,null
4,BIDSHOP,"$250,000 ",null,Utility,DeFi,Not Set,null,Not Rated,null,Market & Returns,null,"$250,000 ",Ended: 30 Jun 2023 ,null,null,null,null,null,null,null
5,Tectum,"$4,202,573 ",null,Utility,Blockchain,Not Set,null,Not Rated,null,Market & Returns,null,"$4,202,573 ",Ended: 30 Jun 2023 ,null,null,null,null,null,null,null
6,Ethlas,"$8,700,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,Market & Returns,null,"$8,700,000 ",Ended: 28 Jun 2023 ,null,null,null,null,null,null,null
7,Archway,"$27,000,000 ","$27,000,000 (100%) ",Utility,Blockchain,"$27,000,000 ","1,000,000,000",Not Rated," $6,000,000 ",15 Jun – 23 Jun, 1 ARCH = 0.2 USD ,"$27,000,000 ",Ended: 23 Jun 2023 ,Cosmos Network,"19,5%",100$ / 1000$,null,"USDT, USDC",null,"Canada, China, Congo, Iraq, North Korea, USA"
8,PolyGame,"$5,225,000 ","$5,230,000 (100%) ",Utility,Platform,"$5,230,000 ","5,000,000,000",Not Rated," $100,000 ",12 Jun – 16 Jun, 1 PGEM = 0.075 USD ,"$5,225,000 ",Ended: 16 Jun 2023 ,Polygon,6%,null,null,"USDC, BUSD",null,null
9,Neon,"$45,000,000 ","$45,000,000 (100%) ",Governance,Blockchain Service,"$45,000,000 ","1,000,000,000","
Very High "," $5,000,000 ",8 Jun – 15 Jun, 1 NEON = 0.1 USD ,"$45,000,000 ",Ended: 15 Jun 2023 ,ERC20,5%,$100 / $500,null,"USDT, USDC",null,null
10,War Legends,Pending ,null,Utility,Gaming,Pending,"350,000,000",Not Rated," $250,000 ",9 Jun – 15 Jun, 1 WAR = 0.037 USD ,Pending ,Ended: 15 Jun 2023 ,Polygon,"21,97%",null,null,null,null,null
11,OtterHome,Pending ,null,Utility,DeFi,Pending,null,Not Rated,null,Market & Returns,null,Pending ,Ended: 13 Jun 2023 ,null,null,null,null,null,null,null
12,HyperGPT,"$1,665,000 ","$1,670,000 (100%) ",Utility,Marketplace,"$1,670,000 ",null,Not Rated,null,Market & Returns,null,"$1,665,000 ",Ended: 11 Jun 2023 ,null,null,null,null,null,null,null
13,Cyber Arena,"$2,100,000 ","$2,100,000 (100%) ",Utility,Gaming,"$2,100,000 ",null,Not Rated,null,Market & Returns,null,"$2,100,000 ",Ended: 8 Jun 2023 ,null,null,null,null,null,null,null
14,KAIF,"$500,000 ",null,Utility,Platform,Not Set,"90,000,000",Not Rated," $500,000 ",June (no exact dates), 1 KAF = 0.15 USD ,"$500,000 ",Ended: 8 Jun 2023 ,BEP-20,null,null,null,BUSD,null,null
15,GPT Guru,"$1,448,000 ","$1,450,000 (100%) ",Utility,Artificial Intelligence,"$1,450,000 ",null,Not Rated,null,Market & Returns,null,"$1,448,000 ",Ended: 7 Jun 2023 ,null,null,null,null,null,null,null
16,Metaverse Kombat,"$2,200,000 ",null,Utility,Gaming,Not Set,"300,000,000",Not Rated," $1,200,000 ",11 May – 4 Jun, 1 MVK = 0.08 USD ,"$2,200,000 ",Ended: 4 Jun 2023 ,BEP-20,11%,null,null,USDT,null,null
17,Cogito Protocol,Pending ,null,Utility,DeFi,Pending,null,Not Rated,null,Market & Returns,null,Pending ,Ended: 3 Jun 2023 ,null,null,null,null,null,null,null
18,The Qwan,"$500,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,Market & Returns,null,"$500,000 ",Ended: 30 May 2023 ,null,null,null,null,null,null,null
19,Eldarune,"$1,750,500 ","$1,750,000 (100%) ",Utility,Gaming,"$1,750,000 ",null,Not Rated,null,Market & Returns,null,"$1,750,500 ",Ended: 30 May 2023 ,null,null,null,null,null,null,null
20,Bware Labs,"$7,200,000 ",null,Utility,Blockchain Platform,Not Set,"100,000,000",Not Rated," 1,780,000 Token ",24 May – 30 May, 1 INFRA = 0.5 USD ,"$7,200,000 ",Ended: 30 May 2023 ,ERC20,"0,25%",null,null,null,null,null
21,Orbofi,"$2,600,000 ","$2,600,000 (100%) ",Utility,Platform,"$2,600,000 ",null,Not Rated,null,Market & Returns,null,"$2,600,000 ",Ended: 28 May 2023 ,null,null,null,null,null,null,null
22,Pika Protocol,"$8,700,000 ",null,Utility,Exchange,Not Set,null,Not Rated,null,Market & Returns,null,"$8,700,000 ",Ended: 27 May 2023 ,null,null,null,null,null,null,null
23,Wistaverse,"$930,000 ","$930,000 (100%) ",Utility,Platform,"$930,000 ",null,Not Rated,null,Market & Returns,null,"$930,000 ",Ended: 25 May 2023 ,null,null,null,null,null,null,null
24,CyberConnect,"$30,400,000 ",null,Utility,Protocol,Not Set,"100,000,000","
Very High "," 3,000,000 Token ",18 May – 24 May, 1 CYBER = 1.80 USD ,"$30,400,000 ",Ended: 24 May 2023 ,ERC20,"28,12%",null,null,USDT,null,"Afghanistan, Canada, Central African Republic, China, Congo, Cote D’Ivoire, Cuba, Iran, Korea, Lebanon, Liberia, Myanmar, Somalia, South Korea, South Sudan, Sudan, Syria, USA, Venezuela, Yemen, Zimbabwe"
25,BladeDAO,Pending ,null,Utility,Gaming,Pending,"10,000,000",Not Rated, ETH ,19 May – 24 May, 1 BLADE = 0.0008333 ETH ,Pending ,Ended: 24 May 2023 ,Own blockchain,null,null,null,null,null,null
