iter	Passed	Remaining
0	6	2560
1	11	2264
2	16	2193
3	20	2034
4	25	1988
5	28	1898
6	33	1864
7	37	1838
8	41	1792
9	45	1767
10	49	1748
11	53	1718
12	56	1696
13	60	1680
14	64	1656
15	68	1653
16	73	1664
17	78	1671
18	83	1682
19	88	1684
20	93	1685
21	98	1687
22	102	1687
23	107	1684
24	112	1685
25	117	1689
26	121	1675
27	125	1661
28	128	1647
29	132	1635
30	136	1620
31	139	1609
32	144	1604
33	147	1590
34	152	1587
35	156	1585
36	161	1584
37	166	1584
38	171	1583
39	175	1576
40	178	1566
41	183	1563
42	188	1562
43	192	1559
44	197	1556
45	201	1552
46	206	1550
47	210	1542
48	214	1534
49	217	1525
50	221	1517
51	225	1509
52	228	1497
53	232	1489
54	236	1485
55	241	1483
56	245	1480
57	250	1476
58	255	1474
59	259	1473
60	264	1469
61	268	1463
62	272	1455
63	275	1446
64	279	1438
65	283	1432
66	286	1424
67	290	1417
68	294	1410
69	297	1404
70	301	1396
71	305	1391
72	309	1386
73	313	1383
74	318	1378
75	322	1374
76	327	1371
77	331	1367
78	335	1361
79	338	1354
80	342	1347
81	346	1345
82	351	1343
83	355	1338
84	359	1333
85	363	1327
86	367	1321
87	371	1317
88	375	1312
89	379	1308
90	383	1302
91	387	1297
92	391	1290
93	394	1285
94	398	1279
95	408	1293
96	413	1290
97	418	1288
98	422	1285
99	426	1280
100	431	1276
101	436	1273
102	440	1270
103	444	1265
104	448	1258
105	451	1253
106	455	1248
107	459	1243
108	463	1238
109	468	1234
110	472	1229
111	477	1226
112	481	1222
113	485	1217
114	489	1213
115	494	1210
116	498	1205
117	502	1200
118	507	1197
119	511	1194
120	516	1189
121	520	1184
122	524	1180
123	529	1177
124	534	1174
125	538	1171
126	542	1166
127	547	1162
128	552	1160
129	557	1157
130	561	1153
131	567	1151
132	571	1147
133	576	1144
134	581	1140
135	586	1137
136	590	1134
137	595	1131
138	600	1128
139	606	1125
140	611	1122
141	615	1118
142	619	1113
143	623	1107
144	627	1103
145	632	1099
146	636	1096
147	641	1091
148	645	1087
149	649	1082
150	654	1078
151	658	1074
152	663	1071
153	668	1068
154	672	1063
155	676	1058
156	680	1053
157	684	1048
158	688	1044
159	692	1039
160	697	1034
161	701	1030
162	705	1025
163	710	1021
164	713	1016
165	717	1011
166	721	1007
167	725	1002
168	729	997
169	734	993
170	738	989
171	742	984
172	746	979
173	750	974
174	755	970
175	759	967
176	768	967
177	773	965
178	778	961
179	783	958
180	789	955
181	794	951
182	799	947
183	805	945
184	811	942
185	816	939
186	822	937
187	833	939
188	838	936
189	844	933
190	849	929
191	854	925
192	859	922
193	864	918
194	870	915
195	875	911
196	881	907
197	887	905
198	892	901
199	896	896
200	900	892
201	905	887
202	909	882
203	914	878
204	918	873
205	923	869
206	927	865
207	932	861
208	937	856
209	941	852
210	945	847
211	950	842
212	954	838
213	959	833
214	963	828
215	967	824
216	971	819
217	975	814
218	980	810
219	985	805
220	990	802
221	995	798
222	1000	793
223	1004	789
224	1009	784
225	1014	781
226	1018	776
227	1022	771
228	1026	766
229	1030	761
230	1034	756
231	1038	751
232	1043	747
233	1047	742
234	1051	738
235	1056	733
236	1061	729
237	1065	725
238	1069	720
239	1073	715
240	1077	711
241	1082	707
242	1088	703
243	1093	699
244	1097	694
245	1100	689
246	1104	684
247	1108	679
248	1112	674
249	1117	670
250	1123	666
251	1127	662
252	1131	657
253	1135	652
254	1140	648
255	1145	644
256	1151	640
257	1159	637
258	1163	633
259	1168	628
260	1171	624
261	1175	619
262	1179	614
263	1184	609
264	1188	605
265	1192	600
266	1197	596
267	1202	592
268	1206	587
269	1211	583
270	1216	578
271	1220	574
272	1225	570
273	1228	565
274	1232	560
275	1236	555
276	1239	550
277	1243	545
278	1247	540
279	1250	536
280	1254	531
281	1258	526
282	1262	522
283	1266	517
284	1271	513
285	1275	508
286	1280	504
287	1285	499
288	1289	495
289	1294	491
290	1298	486
291	1303	481
292	1307	477
293	1312	473
294	1316	468
295	1319	463
296	1323	459
297	1327	454
298	1330	449
299	1334	444
300	1338	440
301	1342	435
302	1347	431
303	1351	426
304	1354	422
305	1358	417
306	1363	412
307	1367	408
308	1371	404
309	1376	399
310	1380	395
311	1385	390
312	1390	386
313	1393	381
314	1397	377
315	1402	372
316	1407	368
317	1410	363
318	1414	359
319	1419	354
320	1424	350
321	1429	346
322	1432	341
323	1436	336
324	1439	332
325	1443	327
326	1447	323
327	1451	318
328	1454	313
329	1458	309
330	1462	304
331	1466	300
332	1470	295
333	1475	291
334	1479	287
335	1484	282
336	1489	278
337	1493	273
338	1497	269
339	1501	264
340	1505	260
341	1508	255
342	1512	251
343	1516	246
344	1520	242
345	1523	237
346	1527	233
347	1531	228
348	1535	224
349	1539	219
350	1542	215
351	1546	210
352	1550	206
353	1553	201
354	1557	197
355	1561	192
356	1565	188
357	1568	184
358	1573	179
359	1577	175
360	1582	170
361	1587	166
362	1591	162
363	1597	157
364	1601	153
365	1605	149
366	1609	144
367	1612	140
368	1616	135
369	1620	131
370	1623	126
371	1628	122
372	1632	118
373	1637	113
374	1642	109
375	1646	105
376	1650	100
377	1654	96
378	1658	91
379	1662	87
380	1667	83
381	1672	78
382	1677	74
383	1681	70
384	1686	65
385	1691	61
386	1695	56
387	1699	52
388	1703	48
389	1707	43
390	1711	39
391	1714	34
392	1718	30
393	1722	26
394	1726	21
395	1731	17
396	1735	13
397	1739	8
398	1743	4
399	1746	0
